sample_name,date,initial_mass_g,ash_free_mass_w_tray,tray_mass,ash_free_dry_mass
CDR,2021.06.13,1.6365,3.7108,2.4937,1.2171
GB,2021.06.13,1.4838,3.4903,2.4991,0.9912
SS,2021.06.13,1.6601,3.6949,2.4931,1.2018
CDR,2021.07.18,2.1421,4.0945,2.4866,1.6079
CLF,2021.07.18,1.7726,3.6522,2.4656,1.1866
GB,2021.07.18,1.7711,3.7483,2.4838,1.2645
SS,2021.07.18,2.8939,4.5954,2.4958,2.0996
CAL,2021.09.11,1.5536,3.6458,2.5198,1.126
CLF,2021.09.11,1.4004,3.4148,2.4718,0.943
CAL,2021.09.23,1.8115,3.7808,2.4612,1.3196
CDR,2021.09.23,1.7348,3.7433,2.4965,1.2468
CLF,2021.09.23,1.7846,3.6421,2.4931,1.149
GB,2021.09.23,1.9421,3.8617,2.5023,1.3594
SS,2021.09.23,2.7339,4.6335,2.5097,2.1238
CAL,2021.10.14,1.0486,3.3815,2.4981,0.8834
CDR,2021.10.14,1.7278,3.7931,2.4922,1.3009
CLF,2021.10.14,2.1433,3.8823,2.5029,1.3794
GB,2021.10.14,1.8556,3.8066,2.5153,1.2913
SS,2021.10.14,2.4999,2.9900,1.0382,1.9518
