Sample Date,Sample Time,Site,depth,NO3_NO2_ppb,SRP_ppb,TP_ppb,NH4_ppb
2021.06.15,10:30,CDR,0m,2,4,8,2
2021.06.15,10:40,CDR,2m,5,6,22,7
2021.06.15,10:50,CDR,4m,2,3,15,15
2021.06.13,13:00,GB,0m,3,4,13,15
2021.06.13,13:10,GB,2m,3,5,17,21
2021.06.13,13:20,GB,4m,3,3,23,24
2021.06.13,9:15,SS,0m,2,5,13,5
2021.06.13,9:20,SS,3m,2,5,14,5
2021.07.18,11:30,CDR,0m,1,4,10,23
2021.07.18,11:40,CDR,2m,3,3,11,43
2021.07.18,11:50,CDR,4m,3,5,10,30
2021.07.18,14:00,GB,0m,1,4,21,48
2021.07.18,14:10,GB,2m,3,5,22,48
2021.07.18,14:20,GB,4m,2,6,20,19
2021.07.18,9:00,SS,0m,4,9,17,16
2021.07.18,9:15,SS,sed,3,19,41,13
2021.08.28,13:00,CDR,0m,4,5,13,41
2021.08.28,13:10,CDR,2m,10,6,18,69
2021.08.28,13:20,CDR,4m,7,6,17,41
2021.08.28,16:30,GB,0m,6,7,21,42
2021.08.28,16:40,GB,2m,4,5,22,52
2021.08.28,16:50,GB,4m,6,5,25,31
2021.08.28,9:45,SS,0m,8,7,38,44
2021.08.28,10:00,SS,sed,6,9,39,52
2021.09.23,13:30,CDR,0m,13,4,10,21
2021.09.23,13:40,CDR,2m,12,4,13,15
2021.09.23,13:50,CDR,4m,10,3,12,11
2021.09.22,13:30,GB,0m,28,46,67,30
2021.09.22,13:40,GB,2m,33,18,36,15
2021.09.22,13:50,GB,4m,17,17,34,25
2021.09.23,11:00,SS,0m,10,8,30,33
2021.09.23,11:10,SS,sed,12,7,35,31
2021.10.14,12:30,CDR,0m,5,3,11,60
2021.10.14,12:40,CDR,2m,6,5,17,204
2021.10.14,12:50,CDR,4m,5,5,15,174
2021.10.14,15:00,GB,0m,5,4,30,43
2021.10.14,15:10,GB,2m,7,6,30,113
2021.10.14,15:20,GB,4m,15,25,30,99
2021.10.14,9:30,SS,0m,19,9,31,66
2021.10.14,9:45,SS,sed,19,7,40,78
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NO2/NO3 Detection limit 2ppb,,,,,,,
NH4 Detection limit 2ppb,,,,,,,
DP Detection limit 1ppb,,,,,,,
SRP Detection limit 1ppb,,,,,,,
