lakename,date,duplicate,mass_mcg,C_percent,N_percent,C_mcgC_g,N_mcgN_g
CDR,2021.06.13,no,9.847,12.93,1.37,129.32,13.69
GB,2021.06.13,no,11.544,18.75,1.75,187.48,17.54
SS,2021.06.13,no,10.62,15.41,1.28,154.15,12.82
CDR,2021.07.18,no,12.071,12.40,1.33,123.99,13.26
CLF,2021.07.18,no,11.57,17.06,1.30,170.57,13.01
GB,2021.07.18,no,9.896,16.14,1.50,161.38,15.04
SS,2021.07.18,no,11.302,12.68,1.19,126.81,11.91
CAL,2021.09.11,no,10.275,13.64,1.25,136.41,12.48
CLF,2021.09.11,no,9.76,14.51,1.08,145.14,10.77
CAL,2021.09.23,no,9.871,12.64,1.34,126.41,13.44
CDR,2021.09.23,no,9.346,12.66,1.36,126.57,13.64
CDR,2021.09.23,yes,9.991,12.68,1.22,126.84,12.21
CLF,2021.09.23,no,10.829,14.59,1.23,145.90,12.33
GB,2021.09.23,no,9.565,11.87,0.96,118.66,9.58
SS,2021.09.23,no,11.397,8.14,0.66,81.43,6.64
CAL,2021.10.14,no,11.689,9.72,1.01,97.24,10.08
CDR,2021.10.14,no,9.291,17.99,1.19,179.86,11.91
CLF,2021.10.14,no,9.291,18.92,1.98,189.21,19.77
GB,2021.10.14,no,11.785,10.21,0.66,102.09,6.65
SS,2021.10.14,no,10.511,,,,
SS,2021.10.14,yes,10.708,23.07,1.98,230.72,19.77
